day,defsize,kind,flip,timed,non_empty,time,text,ref,title
1,setsize,date,0,0,1,,WED 20.10,,
1,setsize,speaker,0,1,1,10,,,
1,setsize,date,0,1,1,10.45,Coffee Break,,
1,setsize,speaker,0,1,1,11.15,,,
1,setsize,speaker,0,1,1,12,,,
1,setsize,date,0,1,1,12.45,Lunch Break,,
1,setsize,speaker,0,1,1,13.45,,,
1,setsize,speaker,0,1,1,14.30,,,
2,setsize,date,0,0,1,,THU 21.10,,
2,setsize,speaker,0,1,1,10,,,
2,setsize,date,0,1,1,10.45,Coffee Break,,
2,setsize,speaker,0,1,1,11.15,,,
2,setsize,speaker,0,1,1,12,,,
2,setsize,date,0,1,1,12.45,Lunch Break,,
2,setsize,speaker,0,1,1,13.45,,,
2,setsize,speaker,0,1,1,14.30,,,
3,setsize,date,0,0,1,,FRI 22.10,,
3,setsize,speaker,0,1,1,10,,,
3,setsize,date,0,1,1,10.45,Coffee Break,,
3,setsize,speaker,0,1,1,11.15,,,
3,setsize,speaker,0,1,1,12,,,
3,setsize,date,0,1,1,12.45,Lunch Break,,
3,setsize,speaker,0,1,1,13.45,,,
3,setsize,speaker,0,1,1,14.30,,,
